00VD               20170904                                                                                   
0601VDA0N       20180101007200100000050000 0000000000003850   
0601VDA0N       20180101007250100000050000 0000000000003851   
0601VDA0N       20180101007300100000050000 0000000000003854   
0601VDA0N       20180101007350100000050000 0000000000003856   
0601VDA0N       20180101007400100000050000 0000000000003858   
0601VDA0N       20180101007450100000050000 0000000000003860   
0601VDA0N       20180101007500100000050000 0000000000003862   
0601VDA0N       20180101007550100000050000 0000000000003863   
0601VDA0N       20180101007600100000050000 0000000000003867   
0601VDA0N       20180101007650100000050000 0000000000003868   
0601VDA0N       20180101007700100000050000 0000000000003870   
0601VDA0N       20180101007750100000050000 0000000000003872   
0601VDA0N       20180101007800100000050000 0000000000003874   
0601VDA0N       20180101007850100000050000 0000000000003876   
0601VDA0N       20180101007900100000050000 0000000000003878   
0601VDA0N       20180101007950100000050000 0000000000003879   
0601VDA0N       20180101008000100000050000 0000000000003881   
0601VDA0N       20180101008050100000050000 0000000000003882   
0601VDA0N       20180101008100100000050000 0000000000003885   
0601VDA0N       20180101008150100000050000 0000000000003887   
0601VDA0N       20180101008200100000050000 0000000000003888   
0601VDA0N       20180101008250100000050000 0000000000003890   
0601VDA0N       20180101008300100000050000 0000000000003892   
0601VDA0N       20180101008350100000050000 0000000000003893   
0601VDA0N       20180101008400100000050000 0000000000003895   
0601VDA0N       20180101008450100000050000 0000000000003896   
0601VDA0N       20180101008500100000050000 0000000000003898   
0601VDA0N       20180101008550100000050000 0000000000003900   
0601VDA0N       20180101008600100000050000 0000000000003901   
0601VDA0N       20180101008650100000050000 0000000000003902   
0601VDA0N       20180101008700100000050000 0000000000003904   
0601VDA0N       20180101008750100000050000 0000000000003906   
0601VDA0N       20180101008800100000050000 0000000000003908   
0601VDA0N       20180101008850100000050000 0000000000003909   
0601VDA0N       20180101008900100000050000 0000000000003910   
0601VDA0N       20180101008950100000050000 0000000000003912   
0601VDA0N       20180101009000100000050000 0000000000003913   
0601VDA0N       20180101009050100000050000 0000000000003915   
0601VDA0N       20180101009100100000050000 0000000000003916   
0601VDA0N       20180101009150100000050000 0000000000003917   
0601VDA0N       20180101009200100000050000 0000000000003918   
0601VDA0N       20180101009250100000050000 0000000000003920   
0601VDA0N       20180101009300100000050000 0000000000003921   
0601VDA0N       20180101009350100000050000 0000000000003923   
0601VDA0N       20180101009400100000050000 0000000000003924   
0601VDA0N       20180101009450100000050000 0000000000003926   
0601VDA0N       20180101009500100000050000 0000000000003927   
0601VDA0N       20180101009550100000050000 0000000000003928   
0601VDA0N       20180101009600100000050000 0000000000003929   
0601VDA0N       20180101009650100000050000 0000000000003930   
0601VDA0N       20180101009700100000050000 0000000000003932   
0601VDA0N       20180101009750100000050000 0000000000003933   
0601VDA0N       20180101009800100000050000 0000000000003934   
0601VDA0N       20180101009850100000050000 0000000000003935   
0601VDA0N       20180101009900100000050000 0000000000003936   
0601VDA0N       20180101009950100000050000 0000000000003937   
0601VDA0N       20180101010000100040000000 0000000000003938   
0601VDA1N       20180101000000100000285000 0100000000000000   
0601VDA1N       20180101000285100000005000 0100000000000007   
0601VDA1N       20180101000290100000005000 0100000000000013   
0601VDA1N       20180101000295100000005000 0100000000000020   
0601VDA1N       20180101000300100000005000 0100000000000029   
0601VDA1N       20180101000305100000005000 0100000000000045   
0601VDA1N       20180101000310100000005000 0100000000000058   
0601VDA1N       20180101000315100000005000 0100000000000072   
0601VDA1N       20180101000320100000005000 0100000000000086   
0601VDA1N       20180101000325100000005000 0100000000000098   
0601VDA1N       20180101000330100000005000 0100000000000115   
0601VDA1N       20180101000335100000005000 0100000000000135   
0601VDA1N       20180101000340100000005000 0100000000000150   
0601VDA1N       20180101000345100000005000 0100000000000167   
0601VDA1N       20180101000350100000005000 0100000000000180   
0601VDA1N       20180101000355100000005000 0100000000000200   
0601VDA1N       20180101000360100000005000 0100000000000218   
0601VDA1N       20180101000365100000005000 0100000000000234   
0601VDA1N       20180101000370100000005000 0100000000000252   
0601VDA1N       20180101000375100000005000 0100000000000269   
