00SG               20161130                                                                                   
0601SGA0N       20170101002180100000005000 0000000000002358   
0601SGA0N       20170101002185100000005000 0000000000002359   
0601SGA0N       20170101002190100000005000 0000000000002362   
0601SGA0N       20170101002195100000005000 0000000000002363   
0601SGA0N       20170101002200100000005000 0000000000002365   
0601SGA0N       20170101002205100000005000 0000000000002367   
0601SGA0N       20170101002210100000005000 0000000000002369   
0601SGA0N       20170101002215100000005000 0000000000002370   
0601SGA0N       20170101002220100000005000 0000000000002373   
0601SGA0N       20170101002225100000005000 0000000000002374   
0601SGA0N       20170101002230100000005000 0000000000002376   
0601SGA0N       20170101002235100000005000 0000000000002378   
0601SGA0N       20170101002240100000005000 0000000000002380   
0601SGA0N       20170101002245100000005000 0000000000002381   
0601SGA0N       20170101002250100000005000 0000000000002384   
0601SGA0N       20170101002255100000005000 0000000000002385   
0601SGA0N       20170101002260100000005000 0000000000002387   
0601SGA0N       20170101002265100000005000 0000000000002389   
0601SGA0N       20170101002270100000005000 0000000000002390   
0601SGA0N       20170101002275100000005000 0000000000002392   
0601SGA0N       20170101002280100000005000 0000000000002394   
0601SGA0N       20170101002285100000005000 0000000000002396   
0601SGA0N       20170101002290100000005000 0000000000002397   
0601SGA0N       20170101002295100000005000 0000000000002400   
0601SGA0N       20170101002300100000005000 0000000000002401   
0601SGA0N       20170101002305100000005000 0000000000002402   
0601SGA0N       20170101002310100000005000 0000000000002405   
0601SGA0N       20170101002315100000005000 0000000000002406   
0601SGA0N       20170101002320100000005000 0000000000002407   
0601SGA0N       20170101002325100000005000 0000000000002410   
0601SGA0N       20170101002330100000005000 0000000000002411   
0601SGA0N       20170101002335100000005000 0000000000002412   
0601SGA0N       20170101002340100000005000 0000000000002415   
0601SGA0N       20170101002345100000005000 0000000000002416   
0601SGA0N       20170101002350100000005000 0000000000002417   
0601SGA0N       20170101002355100000005000 0000000000002420   
0601SGA0N       20170101002360100000005000 0000000000002421   
0601SGA0N       20170101002365100000005000 0000000000002422   
0601SGA0N       20170101002370100000005000 0000000000002424   
0601SGA0N       20170101002375100000005000 0000000000002426   
0601SGA0N       20170101002380100000005000 0000000000002427   
0601SGA0N       20170101002385100000005000 0000000000002429   
0601SGA0N       20170101002390100000005000 0000000000002430   
0601SGA0N       20170101002395100000005000 0000000000002432   
0601SGA0N       20170101002400100000005000 0000000000002434   
0601SGA0N       20170101002405100000005000 0000000000002435   
0601SGA0N       20170101002410100000005000 0000000000002436   
0601SGA0N       20170101002415100000005000 0000000000002439   
0601SGA0N       20170101002420100000005000 0000000000002440   
0601SGA0N       20170101002425100000005000 0000000000002441   
0601SGA0N       20170101002430100000005000 0000000000002443   
0601SGA0N       20170101002435100000005000 0000000000002444   
0601SGA0N       20170101002440100000005000 0000000000002445   
0601SGA0N       20170101002445100000005000 0000000000002447   
0601SGA0N       20170101002450100000005000 0000000000002448   
0601SGA0N       20170101002455100000005000 0000000000002449   
0601SGA0N       20170101002460100000005000 0000000000002451   
0601SGA0N       20170101002465100000005000 0000000000002451   
0601SGA0N       20170101002470100000005000 0000000000002452   
0601SGA0N       20170101002475100000005000 0000000000002454   
0601SGA0N       20170101002480100000005000 0000000000002455   
0601SGA0N       20170101002485100000005000 0000000000002455   
0601SGA0N       20170101002490100000005000 0000000000002457   
0601SGA0N       20170101002495100000005000 0000000000002458   
0601SGA0N       20170101002500100000050000 0000000000002463   
0601SGA0N       20170101002550100000050000 0000000000002474   
0601SGA0N       20170101002600100000050000 0000000000002484   
0601SGA0N       20170101002650100000050000 0000000000002493   
0601SGA0N       20170101002700100000050000 0000000000002503   
0601SGA0N       20170101002750100000050000 0000000000002511   
0601SGA0N       20170101002800100000050000 0000000000002520   
0601SGA0N       20170101002850100000050000 0000000000002529   
0601SGA0N       20170101002900100000050000 0000000000002536   
0601SGA0N       20170101002950100000050000 0000000000002544   
0601SGA0N       20170101003000100000050000 0000000000002552   
0601SGA0N       20170101003050100000050000 0000000000002559   
0601SGA0N       20170101003100100000050000 0000000000002565   
0601SGA0N       20170101003150100000050000 0000000000002572   
0601SGA0N       20170101003200100000050000 0000000000002579   
0601SGA0N       20170101003250100000050000 0000000000002585   
0601SGA0N       20170101003300100000050000 0000000000002591   
0601SGA0N       20170101003350100000050000 0000000000002597   
0601SGA0N       20170101003400100000050000 0000000000002603   
0601SGA0N       20170101003450100000050000 0000000000002608   
0601SGA0N       20170101003500100000050000 0000000000002614   
0601SGA0N       20170101003550100000050000 0000000000002619   
0601SGA0N       20170101003600100000050000 0000000000002624   
0601SGA0N       20170101003650100000050000 0000000000002630   
0601SGA0N       20170101003700100000050000 0000000000002634   
0601SGA0N       20170101003750100000050000 0000000000002639   
0601SGA0N       20170101003800100000050000 0000000000002644   
0601SGA0N       20170101003850100000050000 0000000000002648   
0601SGA0N       20170101003900100000050000 0000000000002652   
0601SGA0N       20170101003950100000050000 0000000000002657   
