00VD               20160830                                                                                   
0601VDA0N       20170101003650100000050000 0000000000003418   
0601VDA0N       20170101003700100000050000 0000000000003430   
0601VDA0N       20170101003750100000050000 0000000000003443   
0601VDA0N       20170101003800100000050000 0000000000003454   
0601VDA0N       20170101003850100000050000 0000000000003466   
0601VDA0N       20170101003900100000050000 0000000000003477   
0601VDA0N       20170101003950100000050000 0000000000003488   
0601VDA0N       20170101004000100000050000 0000000000003499   
0601VDA0N       20170101004050100000050000 0000000000003510   
0601VDA0N       20170101004100100000050000 0000000000003519   
0601VDA0N       20170101004150100000050000 0000000000003530   
0601VDA0N       20170101004200100000050000 0000000000003539   
0601VDA0N       20170101004250100000050000 0000000000003548   
0601VDA0N       20170101004300100000050000 0000000000003558   
0601VDA0N       20170101004350100000050000 0000000000003567   
0601VDA0N       20170101004400100000050000 0000000000003576   
0601VDA0N       20170101004450100000050000 0000000000003584   
0601VDA0N       20170101004500100000050000 0000000000003593   
0601VDA0N       20170101004550100000050000 0000000000003601   
0601VDA0N       20170101004600100000050000 0000000000003609   
0601VDA0N       20170101004650100000050000 0000000000003616   
0601VDA0N       20170101004700100000050000 0000000000003625   
0601VDA0N       20170101004750100000050000 0000000000003632   
0601VDA0N       20170101004800100000050000 0000000000003639   
0601VDA0N       20170101004850100000050000 0000000000003647   
0601VDA0N       20170101004900100000050000 0000000000003655   
0601VDA0N       20170101004950100000050000 0000000000003661   
0601VDA0N       20170101005000100000050000 0000000000003669   
0601VDA0N       20170101005050100000050000 0000000000003675   
0601VDA0N       20170101005100100000050000 0000000000003681   
0601VDA0N       20170101005150100000050000 0000000000003687   
0601VDA0N       20170101005200100000050000 0000000000003694   
0601VDA0N       20170101005250100000050000 0000000000003700   
0601VDA0N       20170101005300100000050000 0000000000003706   
0601VDA0N       20170101005350100000050000 0000000000003712   
0601VDA0N       20170101005400100000050000 0000000000003718   
0601VDA0N       20170101005450100000050000 0000000000003723   
0601VDA0N       20170101005500100000050000 0000000000003730   
0601VDA0N       20170101005550100000050000 0000000000003735   
0601VDA0N       20170101005600100000050000 0000000000003740   
0601VDA0N       20170101005650100000050000 0000000000003746   
0601VDA0N       20170101005700100000050000 0000000000003751   
0601VDA0N       20170101005750100000050000 0000000000003756   
0601VDA0N       20170101005800100000050000 0000000000003761   
0601VDA0N       20170101005850100000050000 0000000000003766   
0601VDA0N       20170101005900100000050000 0000000000003771   
0601VDA0N       20170101005950100000050000 0000000000003775   
0601VDA0N       20170101006000100000050000 0000000000003781   
0601VDA0N       20170101006050100000050000 0000000000003786   
0601VDA0N       20170101006100100000050000 0000000000003789   
0601VDA0N       20170101006150100000050000 0000000000003795   
0601VDA0N       20170101006200100000050000 0000000000003799   
0601VDA0N       20170101006250100000050000 0000000000003803   
0601VDA0N       20170101006300100000050000 0000000000003808   
0601VDA0N       20170101006350100000050000 0000000000003812   
0601VDA0N       20170101006400100000050000 0000000000003816   
0601VDA0N       20170101006450100000050000 0000000000003820   
0601VDA0N       20170101006500100000050000 0000000000003825   
0601VDA0N       20170101006550100000050000 0000000000003828   
0601VDA0N       20170101006600100000050000 0000000000003832   
0601VDA0N       20170101006650100000050000 0000000000003836   
0601VDA0N       20170101006700100000050000 0000000000003840   
0601VDA0N       20170101006750100000050000 0000000000003843   
0601VDA0N       20170101006800100000050000 0000000000003848   
0601VDA0N       20170101006850100000050000 0000000000003851   
0601VDA0N       20170101006900100000050000 0000000000003854   
0601VDA0N       20170101006950100000050000 0000000000003858   
0601VDA0N       20170101007000100000050000 0000000000003862   
0601VDA0N       20170101007050100000050000 0000000000003865   
0601VDA0N       20170101007100100000050000 0000000000003868   
0601VDA0N       20170101007150100000050000 0000000000003871   
0601VDA0N       20170101007200100000050000 0000000000003874   
0601VDA0N       20170101007250100000050000 0000000000003876   
0601VDA0N       20170101007300100000050000 0000000000003879   
0601VDA0N       20170101007350100000050000 0000000000003881   
0601VDA0N       20170101007400100000050000 0000000000003883   
0601VDA0N       20170101007450100000050000 0000000000003885   
0601VDA0N       20170101007500100000050000 0000000000003887   
0601VDA0N       20170101007550100000050000 0000000000003888   
0601VDA0N       20170101007600100000050000 0000000000003892   
0601VDA0N       20170101007650100000050000 0000000000003893   
0601VDA0N       20170101007700100000050000 0000000000003895   
0601VDA0N       20170101007750100000050000 0000000000003897   
0601VDA0N       20170101007800100000050000 0000000000003899   
0601VDA0N       20170101007850100000050000 0000000000003901   
0601VDA0N       20170101007900100000050000 0000000000003903   
0601VDA0N       20170101007950100000050000 0000000000003904   
0601VDA0N       20170101008000100000050000 0000000000003906   
