00AG               20161121                                                                                   
0601AGA1N       20170101001000100000050000 0100000000001260   
0601AGA1N       20170101001050100000050000 0100000000001310   
0601AGA1N       20170101001100100000050000 0100000000001350   
0601AGA1N       20170101001150100000050000 0100000000001400   
0601AGA1N       20170101001200100000050000 0100000000001450   
0601AGA1N       20170101001250100000050000 0100000000001500   
0601AGA1N       20170101001300100000050000 0100000000001550   
0601AGA1N       20170101001350100000050000 0100000000001590   
0601AGA1N       20170101001400100000050000 0100000000001630   
0601AGA1N       20170101001450100000050000 0100000000001670   
0601AGA1N       20170101001500100000050000 0100000000001710   
0601AGA1N       20170101001550100000050000 0100000000001750   
0601AGA1N       20170101001600100000050000 0100000000001780   
0601AGA1N       20170101001650100000050000 0100000000001810   
0601AGA1N       20170101001700100000050000 0100000000001840   
0601AGA1N       20170101001750100000050000 0100000000001880   
0601AGA1N       20170101001800100000050000 0100000000001910   
0601AGA1N       20170101001850100000050000 0100000000001940   
0601AGA1N       20170101001900100000050000 0100000000001970   
0601AGA1N       20170101001950100000050000 0100000000002000   
0601AGA1N       20170101002000100000050000 0100000000002030   
0601AGA1N       20170101002050100000050000 0100000000002060   
0601AGA1N       20170101002100100000050000 0100000000002080   
0601AGA1N       20170101002150100000050000 0100000000002110   
0601AGA1N       20170101002200100000050000 0100000000002130   
0601AGA1N       20170101002250100000050000 0100000000002160   
0601AGA1N       20170101002300100000050000 0100000000002180   
0601AGA1N       20170101002350100000050000 0100000000002200   
0601AGA1N       20170101002400100000050000 0100000000002220   
0601AGA1N       20170101002450100000050000 0100000000002240   
0601AGA1N       20170101002500100000050000 0100000000002260   
0601AGA1N       20170101002550100000050000 0100000000002270   
0601AGA1N       20170101002600100000050000 0100000000002290   
0601AGA1N       20170101002650100000050000 0100000000002310   
0601AGA1N       20170101002700100000050000 0100000000002320   
0601AGA1N       20170101002750100000050000 0100000000002340   
0601AGA1N       20170101002800100000050000 0100000000002350   
0601AGA1N       20170101002850100000050000 0100000000002370   
0601AGA1N       20170101002900100000050000 0100000000002380   
0601AGA1N       20170101002950100000050000 0100000000002390   
0601AGA1N       20170101003000100000500000 0100000000002460   
0601AGA1N       20170101003500100000500000 0100000000002570   
0601AGA1N       20170101004000100000500000 0100000000002650   
0601AGA1N       20170101004500100000500000 0100000000002710   
0601AGA1N       20170101005000100000500000 0100000000002770   
0601AGA1N       20170101005500100000500000 0100000000002810   
0601AGA1N       20170101006000100000500000 0100000000002850   
0601AGA1N       20170101006500100000500000 0100000000002880   
0601AGA1N       20170101007000100000500000 0100000000002900   
0601AGA1N       20170101007500100000500000 0100000000002920   
0601AGA1N       20170101008000100000500000 0100000000002930   
0601AGA1N       20170101008500100000500000 0100000000002940   
0601AGA1N       20170101009000100000500000 0100000000002950   
0601AGA1N       20170101009500100000500000 0100000000002960   
0601AGA2N       20170101000000100000025000 0200000020000000   
0601AGA2N       20170101000025100000005000 0200000020000000   
0601AGA2N       20170101000030100000005000 0200000020000000   
0601AGA2N       20170101000035100000005000 0200000020000000   
0601AGA2N       20170101000040100000005000 0200000020000000   
0601AGA2N       20170101000045100000005000 0200000020000000   
0601AGA2N       20170101000050100000005000 0200000020000000   
0601AGA2N       20170101000055100000005000 0200000020000000   
0601AGA2N       20170101000060100000005000 0200000020000000   
0601AGA2N       20170101000065100000005000 0200000020000000   
0601AGA2N       20170101000070100000005000 0200000020000000   
0601AGA2N       20170101000075100000005000 0200000020000000   
0601AGA2N       20170101000080100000005000 0200000020000000   
0601AGA2N       20170101000085100000005000 0200000020000000   
0601AGA2N       20170101000090100000005000 0200000020000000   
0601AGA2N       20170101000095100000005000 0200000020000000   
0601AGA2N       20170101000100100000005000 0200000020000000   
0601AGA2N       20170101000105100000005000 0200000020000000   
0601AGA2N       20170101000110100000005000 0200000020000000   
0601AGA2N       20170101000115100000005000 0200000020000000   
0601AGA2N       20170101000120100000005000 0200000020000000   
0601AGA2N       20170101000125100000005000 0200000020000000   
0601AGA2N       20170101000130100000005000 0200000020000000   
0601AGA2N       20170101000135100000005000 0200000020000000   
0601AGA2N       20170101000140100000005000 0200000020000000   
0601AGA2N       20170101000145100000005000 0200000020000000   
0601AGA2N       20170101000150100000005000 0200000020000000   
0601AGA2N       20170101000155100000005000 0200000020000000   
0601AGA2N       20170101000160100000005000 0200000020000000   
0601AGA2N       20170101000165100000005000 0200000020000000   
0601AGA2N       20170101000170100000005000 0200000020000000   
0601AGA2N       20170101000175100000005000 0200000020000000   
0601AGA2N       20170101000180100000005000 0200000020000000   
0601AGA2N       20170101000185100000005000 0200000020000000   
0601AGA2N       20170101000190100000005000 0200000020000000   
